path	notice_keyword_lines_in_entire_source
examples/automaton/Javascript/automaton-js.js	NONE (no keyword match; not a license grant)
examples/automaton/Lua/automaton-lua.lua	NONE (no keyword match; not a license grant)
examples/automaton/Python/automaton-py.py	NONE (no keyword match; not a license grant)
examples/nools/nools_demo.nools	NONE (no keyword match; not a license grant)
examples/nools/run_demo.js	NONE (no keyword match; not a license grant)
examples/structure/C#/01-simple-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/02-index-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/03-index2-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/04-peer-arrow-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/05-own-arrow-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/06-peer-paw-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/07-own-paw-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/08-m2m-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/09-inherit-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/10-inherit2-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/11-oop-cs.cs	NONE (no keyword match; not a license grant)
examples/structure/C#/run_all.sh	NONE (no keyword match; not a license grant)
examples/structure/C/build_all.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/build_m2m.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/build_ownarrow.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/build_ownpaw.cmd	NONE (no keyword match; not a license grant)
examples/structure/C/globals.c	NONE (no keyword match; not a license grant)
examples/structure/C/globals.h	NONE (no keyword match; not a license grant)
examples/structure/C/indexed.c	NONE (no keyword match; not a license grant)
examples/structure/C/indexed.h	NONE (no keyword match; not a license grant)
examples/structure/C/indexed2.c	NONE (no keyword match; not a license grant)
examples/structure/C/indexed2.h	NONE (no keyword match; not a license grant)
examples/structure/C/lib.c	NONE (no keyword match; not a license grant)
examples/structure/C/lib.h	NONE (no keyword match; not a license grant)
examples/structure/C/m2m.c	NONE (no keyword match; not a license grant)
examples/structure/C/m2m.h	NONE (no keyword match; not a license grant)
examples/structure/C/ownarrow.c	NONE (no keyword match; not a license grant)
examples/structure/C/ownarrow.h	NONE (no keyword match; not a license grant)
examples/structure/C/ownpaw.c	NONE (no keyword match; not a license grant)
examples/structure/C/ownpaw.h	NONE (no keyword match; not a license grant)
examples/structure/C/peerarrow.c	NONE (no keyword match; not a license grant)
examples/structure/C/peerarrow.h	NONE (no keyword match; not a license grant)
examples/structure/C/peerpaw.c	NONE (no keyword match; not a license grant)
examples/structure/C/peerpaw.h	NONE (no keyword match; not a license grant)
examples/structure/C/simple.c	NONE (no keyword match; not a license grant)
examples/structure/C/simple.h	NONE (no keyword match; not a license grant)
examples/structure/Tcl/01-simple-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/02-index-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/03-index2-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/04-peer-arrow-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/05-own-arrow-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/06-peer-paw-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/07-own-paw-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/08-m2m-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/09-inherit-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/10-inherit2-tcl.tcl	NONE (no keyword match; not a license grant)
examples/structure/Tcl/run_all.sh	NONE (no keyword match; not a license grant)
generators/AutoHotkey_L.tcl	NONE (no keyword match; not a license grant)
generators/c.tcl	NONE (no keyword match; not a license grant)
generators/c2.tcl	NONE (no keyword match; not a license grant)
generators/c2r.tcl	NONE (no keyword match; not a license grant)
generators/cpp.tcl	NONE (no keyword match; not a license grant)
generators/cs.tcl	NONE (no keyword match; not a license grant)
generators/cycle_body.tcl	NONE (no keyword match; not a license grant)
generators/d.tcl	NONE (no keyword match; not a license grant)
generators/drakon_tech.tcl	NONE (no keyword match; not a license grant)
generators/erlang.tcl	NONE (no keyword match; not a license grant)
generators/erlang_hi.tcl	NONE (no keyword match; not a license grant)
generators/go.tcl	NONE (no keyword match; not a license grant)
generators/java.tcl	NONE (no keyword match; not a license grant)
generators/javascript.tcl	NONE (no keyword match; not a license grant)
generators/js_task.tcl	NONE (no keyword match; not a license grant)
generators/kumir.tcl	NONE (no keyword match; not a license grant)
generators/lua.tcl	NONE (no keyword match; not a license grant)
generators/machine.tcl	NONE (no keyword match; not a license grant)
generators/node_sorter.tcl	NONE (no keyword match; not a license grant)
generators/nogoto.sql	NONE (no keyword match; not a license grant)
generators/nogoto.tcl	NONE (no keyword match; not a license grant)
generators/nools.tcl	NONE (no keyword match; not a license grant)
generators/processing.tcl	NONE (no keyword match; not a license grant)
generators/python.tcl	NONE (no keyword match; not a license grant)
generators/tcl.tcl	NONE (no keyword match; not a license grant)
generators/verilog.tcl	NONE (no keyword match; not a license grant)
make_mac_release.sh	NONE (no keyword match; not a license grant)
make_release.sh	NONE (no keyword match; not a license grant)
make_release_rus.sh	NONE (no keyword match; not a license grant)
msgs/ru.msg	100: ::msgcat::mcset ru "DRAKON helps people understand programs.\n\nThis software is PUBLIC DOMAIN, with the exception of pdf4tcl and the Liberation fonts that have their own licenses.\n\nhttp://drakon-editor.sourceforge.net\ndrakon.editor@gmail.com\nTo see example diagrams in DRAKON language, go to the \\\"examples\\\" folder." "ДРАКОН помогает людям понимать программы.\n\nДанный продукт является ОБЩЕСТВЕННЫМ ДОСТОЯНИЕМ, за исключением pdf4tcl и шрифтов Liberation, у которых собственные лицензии.\n\nhttp://drakon-editor.sourceforge.net\ndrakon.editor@gmail.com\nПримеры диаграмм на языке ДРАКОН находится в каталоге \\\"examples\\\"."
pdf4tcl07/glyph2uni.tcl	1667: copyright 169 | 1668: copyrightsans 63721 | 1669: copyrightserif 63193
pdf4tcl07/pdf4tcl.tcl	4: # Copyright (c) 2004 by Frank Richter <frichter@truckle.in-chemnitz.de> and | 6: # Copyright (c) 2006-2010 by Peter Spjuth <peter.spjuth@gmail.com> | 7: # Copyright (c) 2009 by Yaroslav Schekin <ladayaroslav@yandex.ru> | 9: # See the file "licence.terms" for information on usage and redistribution
pdf4tcl07/pkgIndex.tcl	NONE (no keyword match; not a license grant)
pdf4tcl07/stdmetrics.tcl	NONE (no keyword match; not a license grant)
sandbox/globals.c	NONE (no keyword match; not a license grant)
sandbox/globals.h	NONE (no keyword match; not a license grant)
sandbox/lib.c	NONE (no keyword match; not a license grant)
sandbox/lib.h	NONE (no keyword match; not a license grant)
sandbox/lib_test.c	NONE (no keyword match; not a license grant)
sandbox/main.c	NONE (no keyword match; not a license grant)
scripts/about.tcl	25: $window.root.details insert 1.0 [ mc2 "DRAKON helps people understand programs.\n\nThis software is PUBLIC DOMAIN, with the exception of pdf4tcl and the Liberation fonts that have their own licenses.\n\nhttp://drakon-editor.sourceforge.net\ndrakon.editor@gmail.com\nTo see example diagrams in DRAKON language, go to the \\\"examples\\\" folder." ]
scripts/alt_edit.tcl	NONE (no keyword match; not a license grant)
scripts/alt_edit2.tcl	NONE (no keyword match; not a license grant)
scripts/app_settings.tcl	NONE (no keyword match; not a license grant)
scripts/art.tcl	NONE (no keyword match; not a license grant)
scripts/auto.tcl	NONE (no keyword match; not a license grant)
scripts/back.tcl	NONE (no keyword match; not a license grant)
scripts/canvas.sql	NONE (no keyword match; not a license grant)
scripts/colors.tcl	NONE (no keyword match; not a license grant)
scripts/command.tcl	NONE (no keyword match; not a license grant)
scripts/cpicker.tcl	NONE (no keyword match; not a license grant)
scripts/create_d.tcl	NONE (no keyword match; not a license grant)
scripts/dedit.tcl	NONE (no keyword match; not a license grant)
scripts/dedit_dia.tcl	NONE (no keyword match; not a license grant)
scripts/export_pdf.tcl	NONE (no keyword match; not a license grant)
scripts/export_png.tcl	NONE (no keyword match; not a license grant)
scripts/file_props.tcl	NONE (no keyword match; not a license grant)
scripts/fontzoom.tcl	NONE (no keyword match; not a license grant)
scripts/generators.tcl	NONE (no keyword match; not a license grant)
scripts/global_props.tcl	NONE (no keyword match; not a license grant)
scripts/goto.tcl	NONE (no keyword match; not a license grant)
scripts/graph.tcl	NONE (no keyword match; not a license grant)
scripts/graph2.tcl	NONE (no keyword match; not a license grant)
scripts/hie.tcl	NONE (no keyword match; not a license grant)
scripts/hie_engine.tcl	NONE (no keyword match; not a license grant)
scripts/highlight.tcl	NONE (no keyword match; not a license grant)
scripts/icon.action.tcl	NONE (no keyword match; not a license grant)
scripts/icon.address.tcl	NONE (no keyword match; not a license grant)
scripts/icon.arrow.tcl	NONE (no keyword match; not a license grant)
scripts/icon.beginend.tcl	NONE (no keyword match; not a license grant)
scripts/icon.branch.tcl	NONE (no keyword match; not a license grant)
scripts/icon.case.tcl	NONE (no keyword match; not a license grant)
scripts/icon.commentin.tcl	NONE (no keyword match; not a license grant)
scripts/icon.commentout.tcl	NONE (no keyword match; not a license grant)
scripts/icon.horizontal.tcl	NONE (no keyword match; not a license grant)
scripts/icon.if.tcl	NONE (no keyword match; not a license grant)
scripts/icon.input.tcl	NONE (no keyword match; not a license grant)
scripts/icon.insertion.tcl	NONE (no keyword match; not a license grant)
scripts/icon.links.tcl	NONE (no keyword match; not a license grant)
scripts/icon.loopend.tcl	NONE (no keyword match; not a license grant)
scripts/icon.loopstart.tcl	NONE (no keyword match; not a license grant)
scripts/icon.output.tcl	NONE (no keyword match; not a license grant)
scripts/icon.parallel.tcl	NONE (no keyword match; not a license grant)
scripts/icon.pause.tcl	NONE (no keyword match; not a license grant)
scripts/icon.process.tcl	NONE (no keyword match; not a license grant)
scripts/icon.select.tcl	NONE (no keyword match; not a license grant)
scripts/icon.shelf.tcl	NONE (no keyword match; not a license grant)
scripts/icon.timer.tcl	NONE (no keyword match; not a license grant)
scripts/icon.vertical.tcl	NONE (no keyword match; not a license grant)
scripts/inputbox.tcl	NONE (no keyword match; not a license grant)
scripts/insertpoint.tcl	NONE (no keyword match; not a license grant)
scripts/intro.tcl	NONE (no keyword match; not a license grant)
scripts/keycodes.tcl	NONE (no keyword match; not a license grant)
scripts/mainview.tcl	NONE (no keyword match; not a license grant)
scripts/model.tcl	NONE (no keyword match; not a license grant)
scripts/mwindow.tcl	NONE (no keyword match; not a license grant)
scripts/newfor.tcl	NONE (no keyword match; not a license grant)
scripts/prev.tcl	NONE (no keyword match; not a license grant)
scripts/schema.sql	NONE (no keyword match; not a license grant)
scripts/search.tcl	NONE (no keyword match; not a license grant)
scripts/smart_vertex.tcl	NONE (no keyword match; not a license grant)
scripts/text_window.tcl	NONE (no keyword match; not a license grant)
scripts/tooltip.tcl	NONE (no keyword match; not a license grant)
scripts/tree.tcl	NONE (no keyword match; not a license grant)
scripts/utils.tcl	NONE (no keyword match; not a license grant)
scripts/version.tcl	NONE (no keyword match; not a license grant)
structure/array.clone.decl.c	NONE (no keyword match; not a license grant)
structure/array.clone.impl.c	NONE (no keyword match; not a license grant)
structure/array.decl.c	NONE (no keyword match; not a license grant)
structure/array.impl.c	NONE (no keyword match; not a license grant)
structure/class.decl.c	NONE (no keyword match; not a license grant)
structure/class.impl.c	NONE (no keyword match; not a license grant)
structure/struct.tcl	NONE (no keyword match; not a license grant)
structure/tables.tcl	NONE (no keyword match; not a license grant)
structure/tables_c.tcl	NONE (no keyword match; not a license grant)
structure/tables_cs.tcl	NONE (no keyword match; not a license grant)
structure/tables_tcl.tcl	NONE (no keyword match; not a license grant)
testdata/cs_test.cs	NONE (no keyword match; not a license grant)
testdata/erlcomma.erl	NONE (no keyword match; not a license grant)
testdata/erldemo.erl	NONE (no keyword match; not a license grant)
testdata/foreach_py.py	NONE (no keyword match; not a license grant)
testdata/foreach_tcl.tcl	NONE (no keyword match; not a license grant)
testdata/gen1.tcl	NONE (no keyword match; not a license grant)
testdata/java_test.java	NONE (no keyword match; not a license grant)
testdata/quick_sort_py.py	NONE (no keyword match; not a license grant)
testdata/quick_sort_tcl.tcl	NONE (no keyword match; not a license grant)
testdata/sm_test.cs	NONE (no keyword match; not a license grant)
testdata/switch_bug.tcl	NONE (no keyword match; not a license grant)
tools/create_diagram.tcl	NONE (no keyword match; not a license grant)
tools/keys.tcl	NONE (no keyword match; not a license grant)
tools/setversioninfiles.tcl	NONE (no keyword match; not a license grant)
tools/treetest.tcl	NONE (no keyword match; not a license grant)
unittest/algo2.tcl	NONE (no keyword match; not a license grant)
unittest/alt_test.tcl	NONE (no keyword match; not a license grant)
unittest/auto_test.tcl	NONE (no keyword match; not a license grant)
unittest/dedit_test.tcl	NONE (no keyword match; not a license grant)
unittest/erltest.erl	NONE (no keyword match; not a license grant)
unittest/extract_auto_test.tcl	NONE (no keyword match; not a license grant)
unittest/gen_test.tcl	NONE (no keyword match; not a license grant)
unittest/graph2_test.tcl	NONE (no keyword match; not a license grant)
unittest/hie_test.tcl	NONE (no keyword match; not a license grant)
unittest/highlight_test.tcl	NONE (no keyword match; not a license grant)
unittest/mainview_test.tcl	NONE (no keyword match; not a license grant)
unittest/model_test.tcl	NONE (no keyword match; not a license grant)
unittest/mwindow_dummy.tcl	NONE (no keyword match; not a license grant)
unittest/mwindow_test.tcl	NONE (no keyword match; not a license grant)
unittest/nogoto_src.tcl	NONE (no keyword match; not a license grant)
unittest/nogoto_test.tcl	NONE (no keyword match; not a license grant)
unittest/nogoto_test2.tcl	NONE (no keyword match; not a license grant)
unittest/regenerate.sh	NONE (no keyword match; not a license grant)
unittest/regenerate_examples.sh	NONE (no keyword match; not a license grant)
unittest/rundemos.sh	NONE (no keyword match; not a license grant)
unittest/search_test.tcl	NONE (no keyword match; not a license grant)
unittest/struct_c_test.tcl	NONE (no keyword match; not a license grant)
unittest/table_test.tcl	NONE (no keyword match; not a license grant)
unittest/unittest.tcl	NONE (no keyword match; not a license grant)
unittest/utest_utils.tcl	NONE (no keyword match; not a license grant)
unittest/utils_test.tcl	NONE (no keyword match; not a license grant)
